name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost for two,Cost For Person
grilliez,Yes,No,4.1 out of 5,564,080 49653484,HSR,Cafe,"Burgers, Pita Bread, Fries, Charcoal Chicken, Falafel Wrap, Barbeque Chicken, Saffron Rice","Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",600,300.0
shanmukha,Yes,No,4.0 out of 5,988,080 49653004,HSR,Casual Dining,"Onion Kulcha, Hyderabadi Chicken Dum Biryani, Butter Naan, Veg Seekh Kebab, Mushroom Manchurian, Wings, Mutton Biryani","Biryani, Andhra, North Indian, Chinese",800,400.0
mishmash,Yes,No,3.9 out of 5,1245,+91 8884999466,HSR,"Casual Dining, Bar","Cocktails, Tandoori Chicken, Paneer Tikka, Stuffed Mushroom, Pasta Alfredo, Mocktails, Salads","Mediterranean, Continental, North Indian, Mughlai, Salad",1400,700.0
sunny cafe & kitchen,Yes,Yes,3.8 out of 5,499,080 49653055,HSR,"Cafe, Casual Dining","Latte, Sandwich, Pizza, Falafel, Pasta, Choco Brownie Shake, Waffles","Cafe, Continental, Beverages, Desserts",700,350.0
petoo,Yes,No,3.8 out of 5,115,+91 9845008658,HSR,Casual Dining,"Gulab Jamun, Paratha, Samosa, Paneer Biryani","North Indian, Fast Food, Street Food",800,400.0
kadal da meen,Yes,No,3.9 out of 5,117,+91 8043746222,HSR,Casual Dining,"Sea Food, Anjal Tava Fry, Murgh Ghee Roast","Biryani, Seafood",900,450.0
the grub central,Yes,Yes,4.0 out of 5,803,"+91 9739933456
+91 8130319935",HSR,Cafe,"Barbeque Chicken Pizza, Paneer Pizza, Burgers, Crispy Chicken, Aglio Olio Pasta, Chicken Wings, Calzone","Cafe, Italian, Continental",700,350.0
empire restaurant,Yes,No,3.9 out of 5,3833,080 49652958,HSR,Casual Dining,"Mutton Varuval, Brain Fry, Chicken Grill, Ghee Rice, Jumbo Shawarma, Mutton Raan Biriyani, Butter Chicken","North Indian, Mughlai, South Indian, Chinese",750,375.0
nanda's,Yes,No,2.9 out of 5,361,"080 42090505
080 42090606",HSR,Casual Dining,"Butter Chicken, Andhra Meal, Murgh Ghee Roast, Vegetable Biryani, Butter Naan, Roti, Hyderabadi Chicken Biryani","North Indian, Chinese, Andhra",450,225.0
house stark cafe,Yes,No,3.9 out of 5,44,+91 9538735364,HSR,Cafe,Fries,"Cafe, Desserts, Fast Food, Burger",300,150.0
cafe mondo,Yes,No,3.6 out of 5,484,080 49534335,HSR,"Cafe, Casual Dining","Coffee, Pasta, Sandwiches, Pizza, Nachos, Blueberry Cheesecake, Burgers","Cafe, Italian, Pizza, Chinese",700,350.0
dhaba bytes,Yes,No,4.1 out of 5,131,"080 42023320
+91 9902913320",HSR,Casual Dining,"Naan, Roti, Shahi Paneer, Shahi Tukda",North Indian,650,325.0
lounge 189,No,No,3.8 out of 5,157,+91 9513888911,HSR,"Lounge, Bar","Cocktails, Watermelon Mojito, Orange Mojito, Steak, Fish, Long Island Iced Tea, Sauteed Vegetables","Continental, Italian",1300,650.0
howrah bridge,Yes,No,3.3 out of 5,292,"080 41201717
+91 9986507665",HSR,Casual Dining,"Rasgulla, Egg Devils, Mutton Kosha, Luchi, Chicken Biryani, Aalo Bhaja, Mughlai Paratha","Bengali, Seafood",600,300.0
krutunga,No,No,3.6 out of 5,289,"+91 9182599697
+91 9182599697",HSR,Casual Dining,"Chicken Fry, Andhra Meal, Chicken Meal, Mutton Curry, Chicken Guntur, Chicken Biryani, Hyderabadi Biryani","Andhra, Biryani",500,250.0
atithi,Yes,Yes,3.9 out of 5,224,+91 9538800665,HSR,Casual Dining,"Vegetable Biryani, Jalebi, Paneer Curry, Tandoori Paneer, Paneer Tikka, Gulab Jamun, Paratha","North Indian, Chinese, Street Food",800,400.0
new delicacy,Yes,No,3.7 out of 5,86,+91 8861073260,HSR,Casual Dining,"Momos, Hakka Noodles, Nasi Goreng, Dragon Prawn, American Chopsuey, Garlic Butter Noodle","Chinese, Thai, Momos",500,250.0
m.m restaurant,Yes,No,3.9 out of 5,185,"+91 7259752001
+91 9740437281",HSR,Casual Dining,Biryani,"Chinese, North Indian, Biryani",600,300.0
rajesh restaurant,Yes,Yes,3.5 out of 5,59,"+91 8095457454
+91 7090207707",HSR,Casual Dining,"Coffee, Thali","North Indian, Chinese, South Indian, Continental",700,350.0
a2b - adyar ananda bhavan,Yes,No,2.8 out of 5,484,"18001036363
080 25725399",HSR,Casual Dining,"Masala Dosa, Coffee, Tea, Vada, Idli, Chaat, Pongal","South Indian, North Indian, Chinese, Street Food, Fast Food",400,200.0
keep it straight cafe,Yes,Yes,3.9 out of 5,202,"+91 8553956723
+91 8549942982",HSR,Cafe,"Coffee, Tea, Pasta Alfredo, Chai, Burgers, White Sauce Pasta, French Fries","Cafe, North Indian, Fast Food",500,250.0
luo han,Yes,No,3.6 out of 5,777,080 64505304,HSR,Casual Dining,"Thai Noodles, Singapore Noodles, Manchow Soup, Momos, Clear Soup, Spring Roll, Vegetarian","Chinese, Thai",500,250.0
sarvam,Yes,No,3.6 out of 5,121,"080 25720213
+91 9632833336",HSR,Casual Dining,"Roti, Paratha, Appam, Chicken Biryani, Kothu Parotta, Elaneer Payasam, Fish Fry","South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",550,275.0
biriyani zone,Yes,No,3.9 out of 5,668,"+91 9980000887
+91 9980000744",HSR,Casual Dining,"Sea Food, Vegetable Biryani, Mushroom Manchurian, Hyderabadi Biryani, Chicken Biryani, Mutton Biryani, Chicken Guntur","Biryani, North Indian, Chinese, Seafood",800,400.0
grigliato,Yes,No,3.9 out of 5,716,"080 25726660
080 65704412",HSR,Casual Dining,"Beer, Steak, Burgers, Fritters, Caramel Custard, Pasta Alfredo, Pizza","Italian, Chinese, Continental, Steak",1000,500.0
canopy flavours,No,No,2.6 out of 5,49,"+91 9845393655
+91 9900098999",HSR,Cafe,"Sandwich, Burgers","Cafe, Fast Food",450,225.0
shri madhuram,No,No,3.9 out of 5,371,"080 25723543
+91 9900165588",HSR,Casual Dining,"Vada, Coffee, Breakfast Buffet, Thali, Idli, Onion Rava Masala Dosa, Pongal","South Indian, North Indian",400,200.0
vasudev adiga's,No,No,3.7 out of 5,532,"+91 8494912611
+91 8494904666",HSR,Casual Dining,"Pongal, Khara Bhath, Lassi, Vada, Idli, Paper Masala Dosa, Filter Coffee","South Indian, North Indian, Chinese, Street Food",250,125.0
anjappar,No,No,2.9 out of 5,304,"080 25722207
080 25722208",HSR,Casual Dining,"Masala Prawn, Kerala Parotta, Crab Soup, Sea Food, Egg Masala, Mutton Soup, Paratha","Chettinad, South Indian",650,325.0
hotel junior kuppanna,Yes,No,3.1 out of 5,266,+91 8041633030,HSR,Casual Dining,"Chicken Curry, Mutton Biryani, Paratha, Kothu Parotta, Mutton Fry, Pallipalayam Chicken, Chicken Biryani","Chettinad, South Indian",550,275.0
swathi spice n ice,Yes,No,3.5 out of 5,166,"080 25507575
080 25506676",HSR,Casual Dining,"Andhra Meal, Cocktails, Chicken Biryani, Panneer Butter Masala, Mutton Biryani","Andhra, North Indian, Chinese",700,350.0
aaranya restaurant,Yes,No,3.4 out of 5,212,"+91 9845475786
+91 9900088992",HSR,Casual Dining,"Murgh Makhani, Chicken Biryani, Naan, Beer, Tandoori Chicken","North Indian, Chinese, Mughlai",800,400.0
cinnamon,Yes,No,3.9 out of 5,450,"+91 9900890054
080 41201897",HSR,Casual Dining,"Raita, Tandoori Chicken, Egg Chilli, Hakka Noodles, Chicken Taka Tak, Palak Paneer, Veg Pulao","North Indian, Chinese, Biryani",550,275.0
nandhini deluxe,No,No,3.6 out of 5,95,"+91 9743293388
+91 9743472288",HSR,Casual Dining,"Biryani, Mutton Chops, Lime Soda","Andhra, North Indian",800,400.0
hsr agarval bhavan,Yes,No,3.2 out of 5,68,+91 9379912345,HSR,Casual Dining,"Chole Bhature, Tea, Kachori","South Indian, Street Food, Fast Food, Desserts, Beverages",400,200.0
punjabi tadka,Yes,No,2.8 out of 5,188,"+91 9611765699
+91 9980845823",HSR,Casual Dining,"Paneer Parantha, Mutton Biryani, Lassi, Dal Makhani, Thali, Aloo Paratha","North Indian, Chinese",400,200.0
reddy's restaurant,Yes,No,3.7 out of 5,141,"+91 7760510003
+91 7760310003",HSR,Casual Dining,"Chicken Biryani, Mutton Roganjosh, Andhra Meal","Andhra, Biryani, South Indian, Chinese",500,250.0
kuttanadu,Yes,No,2.8 out of 5,261,"080 42114333
+91 8095983146",HSR,Casual Dining,"Pothichoru, Kerala Parotta, Beef Fry, Vegetable Stew, Chicken Curry, Paratha, Biryani","Kerala, Chinese, Seafood, North Indian",700,350.0
that garage cafe,Yes,No,3.1 out of 5,102,+91 8197831158,HSR,Cafe,"Coffee, Mutton Steak, Veg Burger, Plum Cake, Ginger Tea","Cafe, Italian, Continental, European, Biryani, Chinese",650,325.0
brimstone cafe,Yes,Yes,4.0 out of 5,390,"+91 9844504477
+91 9743754477",HSR,"Cafe, Casual Dining","Pasta, Pizza, Sandwiches, Chilli Cheese Garlic Bread, Hazelnut Latte, Tea, Cappuccino","Cafe, Continental, Salad, Italian",1300,650.0
meeraa's beegara oota,Yes,No,3.8 out of 5,258,"080 22580009
+91 9916874081",HSR,Casual Dining,"Mutton Fry, Mutton Keema, Mutton Biryani, Chicken Biryani, Mutton Chops, Ragi Mudde, Mutton Curry","South Indian, Biryani, Chinese",550,275.0
gold bean,No,No,2.5 out of 5,113,+91 7899364709,HSR,Cafe,"Burgers, Tea, Hot Coffee, Hot Chocolate, Cappuccino, Fries, Veg Burger",Cafe,550,275.0
the egg factory,Yes,No,4.0 out of 5,136,"080 49777725
+91 9606867098",HSR,Casual Dining,"Shakshouka, Kothu Paratha, Scrambled Eggs, Pasta, English Breakfast, Cheese Omelette, Masala Omelette","Continental, American",750,375.0
foodiesthan,Yes,No,3.7 out of 5,59,+91 9845055369,HSR,Cafe,"Masala Chai, Garlic Bread, Oreo Shake","Cafe, Fast Food, North Indian",600,300.0
poorvika restro cafe,Yes,No,3.7 out of 5,76,"+91 9538615678
+91 9538625678",HSR,Casual Dining,Momos,"Chinese, North Indian",700,350.0
mak n vak - fyn,Yes,No,3.9 out of 5,337,+91 8861752567,HSR,Quick Bites,"Liti Chokha, Chilli Chicken, Chicken Litti, Paratha, Lassi, Pan Fried Momos, Egg Curry","North Indian, Chinese",500,250.0
golden restaurant,Yes,Yes,3.4 out of 5,411,"080 48544452
+91 9591444953",HSR,Casual Dining,"Chicken Grill, Shawarma","North Indian, Mughlai",750,375.0
aroma fine dine,Yes,Yes,4.0 out of 5,127,"+91 9513888632
+91 9945845334",HSR,Casual Dining,"Chicken Biryani, Dal Makhani, Bamboo Biryani, Garlic Naan","North Indian, Mughlai, Chinese, South Indian",900,450.0
kairos,No,No,3.8 out of 5,63,"080 40752007
+91 8861128718",HSR,Cafe,"Coffee, Pasta","Cafe, Italian, European",1000,500.0
chaai resto,Yes,No,3.9 out of 5,92,080 22588033,HSR,"Beverage Shop, Quick Bites","Burgers, Chai, Paratha, Sandwich, Ginger Tea, Chaat, Oreo Shake","Tea, Beverages, Fast Food",250,125.0
psv's andhra paradise,Yes,No,3.5 out of 5,117,"080 65589315
+91 8884077772",HSR,Casual Dining,"Chicken Guntur, Biryani, Thali","Andhra, Chinese, North Indian, Hyderabadi",600,300.0
sri udupi park,Yes,No,4.0 out of 5,64,+91 9632765444,HSR,Casual Dining,Tea,"South Indian, North Indian, Chinese, Beverages",300,150.0
nature's nectar,No,No,3.7 out of 5,38,"+91 9535281764
080 65656631",HSR,Casual Dining,"Pasta, Sandwich, Salad","Continental, Healthy Food",600,300.0
punjab di shaan,Yes,No,3.0 out of 5,39,+91 7676510001,HSR,Casual Dining,"Roti, Thali, Paratha",North Indian,450,225.0
the little chef,No,No,3.5 out of 5,136,"080 64350423
+91 9886499449",HSR,Casual Dining,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali","North Indian, Chinese",600,300.0
shree khana khazana,Yes,No,3.9 out of 5,356,"+91 8050891627
+91 8095803482",HSR,Casual Dining,"Buttermilk, Thali, Dal Bati, Panneer Butter Masala, Rajma Rice, Sweet Lassi, Kadhi","North Indian, Chinese, Rajasthani",450,225.0
samaikya,Yes,Yes,3.9 out of 5,533,"+91 8861730009
080 25726616",HSR,Casual Dining,"Andhra Thali, Mutton Biryani, Mutton Fry, Lassi, Chicken Curry, Ragi Mudde, Ulavacharu","Andhra, Seafood, Biryani",900,450.0
dragon's kitchen,Yes,No,3.1 out of 5,248,+91 9035215484,HSR,Casual Dining,"Hakka Noodles, Honey Chilli Chicken, Garlic Butter Noodle, Dragon Chicken, Garlic Chicken",Chinese,500,250.0
wangs kitchen,Yes,No,2.4 out of 5,438,080 39253925,HSR,Casual Dining,"Chicken Lollipop, Spring Roll, Momos, Singapore Noodles, Chop Suey, Clear Soup, Sweet Corn Soup",Chinese,1000,500.0
feaster,Yes,No,3.8 out of 5,88,"080 48667709
+91 7349740008",HSR,Casual Dining,"Liver Fry, Burgers, Pizza","Continental, Asian, Chinese, Italian, North Indian",600,300.0
talk over table cafe,No,No,3.7 out of 5,86,"+91 7338068993
+91 9535046029",HSR,Cafe,"Coffee, Burgers, Salad, Omelette, Hot Chocolate, Tea, Pancakes","Cafe, Italian, Beverages",500,250.0
bangaliana,Yes,No,3.7 out of 5,310,080 22582839,HSR,Casual Dining,"Dhokar Dalna, Chicken Curry, Mutton Curry, Mutton Kosha, Fish Curry, Mocha Chingri, Luchi",Bengali,600,300.0
true bleu resto cafe,Yes,No,4.2 out of 5,70,080 42089171,HSR,Quick Bites,"Pizza, Bannoffee Pie, Mocktails, Pasta Alfredo, Burgers, Nachos, Veg Burger","Pizza, Burger, Sandwich, Coffee, Desserts, Continental, Salad, Asian",400,200.0
leon grill,Yes,No,4.3 out of 5,1099,"+91 8025722900
+91 9108873135",HSR,Quick Bites,"Burgers, Waffles, Fries, Peri Peri Chicken Wings, Jumbo Royale Burger, Chicken Doner, Salad","Turkish, Arabian, Fast Food, Desserts, Healthy Food, Salad",450,225.0
charcoal eats,Yes,No,4.0 out of 5,54,+91 9022500500,HSR,Quick Bites,"Pizza, Hyderabadi Chicken Biryani, Chicken Tikka Biryani","Mughlai, Biryani, Fast Food",500,250.0
moolehatti donne biryani mane,Yes,No,3.6 out of 5,218,080 65000346,HSR,Quick Bites,"Mutton Biryani, Chicken Kebab, Donne Biryani","Biryani, Chinese, North Indian, Kebab",400,200.0
chaat trail by moti mahal,Yes,Yes,3.9 out of 5,46,080 49652188,HSR,Quick Bites,"Chaat, Chole Bhature, Pav Bhaji, Gulab Jamun, Bhel Puri, Paneer Pakora","Street Food, Beverages, South Indian, North Indian, Ice Cream, Mithai, Rajasthani",300,150.0
snakk that,Yes,No,3.9 out of 5,54,+91 7975772412,HSR,"Quick Bites, Beverage Shop","Burgers, Nachos, Oreo Shake, Veg Sandwich, Veg Burger","Burger, Beverages, Fast Food",250,125.0
kfc,Yes,No,3.6 out of 5,622,080 33994444,HSR,Quick Bites,"Burgers, Crispy Chicken, Fiery Chicken, Chicken Wings, Chicken Grill, Rice Bowl, Hot Wings","Burger, Fast Food",400,200.0
punjabi nukkad pure veg,Yes,No,4.0 out of 5,769,"+91 9513131489
+91 7829581313",HSR,Quick Bites,"Lassi, Dal Makhani, Ajwaini Paratha, Mushroom Masala, Roti, Shahi Tukda, Shahi Paneer","North Indian, Chinese, Juices",500,250.0
raghavendra tiffin,No,No,4.4 out of 5,222,+91 9632905948,HSR,Quick Bites,"Idli Sambar, Bisi Bele Bhaath, Podi Masala Dosa, Tea, Filter Coffee, Curd Rice, Vada",South Indian,150,75.0
mirch,Yes,No,3.7 out of 5,94,080 49652868,HSR,Quick Bites,"Paneer Biryani, Naan","North Indian, Biryani",400,200.0
shree muthahalli veg,Yes,No,4.1 out of 5,842,"+91 8884695222
+91 9738284866",HSR,Quick Bites,"Rava Idli, Filter Coffee, Tea, Vada, Paper Masala Dosa, Donne Biryani","South Indian, North Indian, Chinese, Juices, Ice Cream",300,150.0
the tandoori chai,Yes,No,3.9 out of 5,60,080 49585605,HSR,Quick Bites,"Tandoori Chai, Tea, Paratha, Samosa Chaat, Onion Pakoda, Raj Kachori","North Indian, Fast Food, Street Food, Beverages",400,200.0
california burrito,No,No,4.1 out of 5,110,+91 8039515101,HSR,Quick Bites,"Rice Bowl, California Burrito, Mexican Samosa","Mexican, Fast Food",400,200.0
faasos,Yes,No,3.9 out of 5,355,+91 7700020020,HSR,Quick Bites,"Rolls, Veggie Wrap, Panneer Butter Masala, Veggie Roll, Chicken Wrap, Paneer Roll, Chicken Roll","North Indian, Biryani, Fast Food",500,250.0
noon's,Yes,No,4.2 out of 5,162,"+91 9243405888
+91 8050160888",HSR,Quick Bites,"Chicken Biryani, Hyderabadi Dum Biryani, Raita",Biryani,300,150.0
polar bear,Yes,No,4.0 out of 5,221,080 49653233,HSR,Dessert Parlor,"Sandwiches, Ice Cream Pizza, Vanilla Ice Cream, Chocolate Fudge, Sandwich, Brownie, Chocolate Cake","Ice Cream, Desserts, Beverages, Sandwich",400,200.0
the waffle street,Yes,No,3.9 out of 5,46,+91 8095214455,HSR,"Quick Bites, Dessert Parlor","Waffles, Pasta Alfredo","Continental, Beverages, Burger, Coffee, Desserts",300,150.0
tawa ghar ka,Yes,No,3.8 out of 5,331,"+91 7259590034
+91 8197906235",HSR,Quick Bites,"Mushroom Masala, Thali, Aloo Paratha, Roti, Samosa, Panneer Butter Masala",North Indian,350,175.0
sri dalma,Yes,No,3.8 out of 5,77,+91 9972168855,HSR,Quick Bites,"Thali, Mutton Handi","Oriya, Bengali",350,175.0
#l-81 cafe,Yes,No,3.9 out of 5,48,+91 9986210891,HSR,Quick Bites,Burgers,"Fast Food, Beverages",400,200.0
kabab magic,Yes,No,3.1 out of 5,282,+91 7760538668,HSR,Quick Bites,"Chicken Grill, Grape Juice, Tandoori Chicken, Shawarma Roll, Wings, Rolls, Chicken Curry","North Indian, Kebab, Fast Food",500,250.0
madeena hotel,Yes,No,3.9 out of 5,236,"+91 8048665361
+91 9738458647",HSR,Quick Bites,Ghee Rice,"North Indian, Mughlai, Biryani",400,200.0
new punjabi dhaba,Yes,No,3.9 out of 5,783,"+91 9972425476
+91 7829891318",HSR,Quick Bites,"Panneer Butter Masala, Butter Chicken, Kadhai Paneer, Egg Biryani, Paratha, Noodles, Chilli Paneer","North Indian, Chinese",300,150.0
davanagere benne dose,Yes,No,3.9 out of 5,106,+91 9916751528,HSR,Quick Bites,Benne Dosa,South Indian,150,75.0
shubh sweets,No,No,3.9 out of 5,331,"080 65830980
+91 9686588740",HSR,"Quick Bites, Sweet Shop","Panipuri, Jalebi Rabri, Momos, Papdi Chaat, Dhokla, Paratha, Aloo Tikki Chat","Street Food, Mithai, Momos",400,200.0
biryani palace,Yes,No,3.9 out of 5,460,"+91 8105719991
+91 9742859940",HSR,Quick Bites,"Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita","Biryani, Hyderabadi, Chinese",600,300.0
tharavadu,Yes,No,3.8 out of 5,83,+91 9886876999,HSR,Quick Bites,"Biryani, Fish Curry","Chinese, North Indian, Kerala",400,200.0
mcdonald's,Yes,No,3.8 out of 5,510,+91 8066000666,HSR,Quick Bites,"Coffee, Peri Peri Fries, Hot Chocolate, Scrambled Eggs, Donut, Grilled Chicken Wrap, Ice Tea","Burger, Fast Food",500,250.0
uptown sliders & shakes,Yes,No,3.9 out of 5,113,"+91 9742686969
+91 9986454535",HSR,Quick Bites,"Burgers, Strawberry Shake, Fries, Pancakes, Chicken Salad, Lamb","Burger, Fast Food, Beverages",600,300.0
families food court,Yes,No,3.9 out of 5,261,"080 42044267
+91 8147722808",HSR,Quick Bites,Prompt Service,"North Indian, Chinese, Biryani, Rolls",400,200.0
donne biriyani house,Yes,No,3.8 out of 5,278,"080 68888355
+91 9620992555",HSR,Quick Bites,"Rice, Donne Biryani, Mutton Biryani, Chicken Kebab, Chilli Chicken, Chicken Biryani, Kshatriya Kebab",Biryani,200,100.0
sri krishna sagar,Yes,No,3.5 out of 5,234,"080 22581133
080 22583933",HSR,Quick Bites,"Coffee, Vada, Chaat, Rava Idli","South Indian, North Indian, Chinese, Street Food, Juices",400,200.0
domino's pizza,Yes,No,3.8 out of 5,251,"080 22588008
18602100000",HSR,Quick Bites,"Pizza, Garlic Bread, Pasta, Chocolava Cake, Chicken Fiesta","Pizza, Fast Food",400,200.0
the rasaganga,Yes,No,3.9 out of 5,163,+91 8197399958,HSR,Quick Bites,"Coffee, Dahi Vada, Chaat","South Indian, North Indian, Chinese, Street Food",300,150.0
amrutha sweets,No,No,4.1 out of 5,116,"+91 9986777888
+91 8904777888",HSR,Quick Bites,"Panipuri, Paratha, Badam Milk, Chaat, Chole Bhature, Raj Kachori, Rasmalai","Street Food, Mithai",200,100.0
northam's pizza.pita,Yes,No,4.1 out of 5,672,+91 8105711811,HSR,Quick Bites,"Exotic Garlic Bread, Spicy Falafel, Burgers, Pasta, Pita Pocket, Pita Pizza, Veggie Pizza","Italian, Pizza",450,225.0
le charcoal xpress,Yes,No,4.0 out of 5,164,"+91 9036300066
+91 9036300088",HSR,Quick Bites,"Pita Bread, Rolls, Shawarma Roll, Lebanese Shawarma, Chicken Grill, Barbeque Chicken","Arabian, BBQ, Rolls, Lebanese",500,250.0
hotel manu,Yes,No,3.9 out of 5,340,"080 31926444
080 32916444",HSR,Quick Bites,"Fish, Paratha","South Indian, Kerala, Chinese, North Indian",400,200.0
khai khai,Yes,No,3.9 out of 5,50,+91 7619207120,HSR,Quick Bites,"Mutton Kosha, Kosha Mangsho",Bengali,450,225.0
second wife cafe,Yes,No,3.8 out of 5,61,+91 9742877744,HSR,Quick Bites,"Paneer Tikka, Tandoori Momos, Soya Chaap, Afghani Chaap","Arabian, North Indian",400,200.0
kaka-t-cafe,No,No,4.0 out of 5,60,+91 9845398623,HSR,Quick Bites,"Chicken Burger, Rolls, Tea, Fries, Kathi Roll, Sandwich, Mango Juice","Arabian, Fast Food",400,200.0
the sandwich club,Yes,No,3.9 out of 5,88,"+91 9980473809
+91 9902368896",HSR,Quick Bites,"Sandwiches, Fries, Sandwich, Pizza, Thick Shakes, Garlic Bread",Fast Food,250,125.0
southinn,Yes,No,3.8 out of 5,190,"00 08025720213
+91 9686967908",HSR,Quick Bites,"Vada, Idli, Masala Dosa, Filter Coffee, Tea, Sandwiches","South Indian, Fast Food, Chinese, North Indian, Street Food",250,125.0
subway,Yes,No,3.1 out of 5,382,+91 8197532665,HSR,Quick Bites,"Veg Salad, Sandwich","Salad, Fast Food",600,300.0
pappu chaiwalla,No,No,3.9 out of 5,689,"+91 9945702486
080 25723488",HSR,Quick Bites,"Chai, Keema Fries, Sandwiches, Chicken Keema, Rajma Chawal, Ginger Tea, Momos","Fast Food, Tea, Beverages",300,150.0
spicy kitchen,Yes,No,3.8 out of 5,63,+91 9663079398,HSR,Quick Bites,Spicy Chicken,"Andhra, North Indian",500,250.0
fun kitchen,Yes,No,3.8 out of 5,90,"+91 7349778622
+91 8586888318",HSR,Quick Bites,"Momos, Rolls, Paratha, Chaap","North Indian, Chinese, Fast Food",400,200.0
chef baker's,Yes,No,3.8 out of 5,204,"+91 7406066615
+91 8880404444",HSR,"Bakery, Cafe","Burgers, Pizza, Peri Peri Chicken Burger, Sandwiches, Pasta, Sandwich, Potato Wedges","Continental, Cafe, Desserts, Italian, Bakery",600,300.0
the mylapore cafe,Yes,No,4.1 out of 5,119,080 41472414,HSR,Quick Bites,"Masala Dosa, Pongal, Filter Coffee, Tea, Idli","South Indian, Kerala",200,100.0
paratha plaza,No,No,3.8 out of 5,184,+91 9611635741,HSR,Quick Bites,"Sattu Paratha, Rajma, Masala Papad, Onion Paratha, Aloo Paratha",North Indian,250,125.0
kachori kafe,Yes,No,3.2 out of 5,571,+91 6360970467,HSR,Quick Bites,"Kachori, Tea, Badam Milk, Lassi, Chaat, Paratha, Rabri","Street Food, Mithai, Desserts, North Indian",300,150.0
bangalore cafe,Yes,No,3.7 out of 5,197,+91 8049796655,HSR,Quick Bites,"Sabudana Vada, Masala Dosa, Filter Coffee, Pesarattu Upma, Podi Idli, Mirchi Bajji, Pongal","South Indian, Fast Food",400,200.0
raichur biryani house,Yes,No,3.8 out of 5,283,"+91 8050008880
+91 8050511500",HSR,Quick Bites,"Chicken Biryani, Dum Biryani, Vegetable Biryani, Mutton Biryani","Biryani, North Indian, Chinese",400,200.0
udupi palace,No,No,3.7 out of 5,446,+91 9886445543,HSR,Quick Bites,"Idli, Plain Dosa, Neer Dosa, Masala Dosa, Thali, Uddin Vada","South Indian, North Indian, Chinese, Street Food",400,200.0
tasty treat,Yes,No,3.1 out of 5,131,+91 9880080359,HSR,Quick Bites,Paratha,"North Indian, Chinese, Biryani, Rolls",400,200.0
foodzoo,Yes,No,3.6 out of 5,123,"+91 7406046373
+91 9748603713",HSR,Quick Bites,"Paratha, Puri Sabzi, Tea, Chole","North Indian, Chinese, Street Food",300,150.0
bihar ki shan,Yes,No,3.8 out of 5,347,+91 9945615099,HSR,Quick Bites,Roti,North Indian,300,150.0
pizza hut,Yes,No,3.1 out of 5,452,"080 39883988
080 25720305",HSR,Quick Bites,"Tomato Basil Soup, Mushroom Soup, Veg Supreme Pizza, Masala Lemonade, Creamy Mushroom Pasta, Garlic Bread Stick","Pizza, Fast Food",750,375.0
delite chaat house,Yes,No,3.4 out of 5,179,"+91 9342445566
+91 9900792068",HSR,Quick Bites,"Chaat, Vada Pav, Fafda, Sandwiches, Kutchi Dabeli, Sev Puri","Street Food, Gujarati",300,150.0
rolls on wheels,No,No,3.6 out of 5,218,"+91 9071734107
+91 9071496800",HSR,Quick Bites,"Rolls, Momos, Masala Fries, Chicken Tikka Roll, Paratha","Fast Food, Rolls, Momos",300,150.0
@italy,No,No,3.5 out of 5,40,"+91 9686860039
+91 9886131496",HSR,Quick Bites,"Pizza, Risotto, Aglio Olio Pasta, Pasta Barbaresca","Italian, Pizza",700,350.0
idli & dosa cafe,No,No,2.6 out of 5,91,"+91 7338660005
+91 7338460005",HSR,Quick Bites,"Coffee, Vada, Rava Masala Dosa, Upma",South Indian,200,100.0
udupi bhavan,Yes,No,3.8 out of 5,171,"+91 8147278338
+91 9035351777",HSR,Quick Bites,"Vada, Masala Dosa, Coffee","Chinese, North Indian, South Indian",400,200.0
pizza cart,Yes,No,3.8 out of 5,80,"+91 7338233337
+91 7338433337",HSR,Quick Bites,"Pizza, Rolls, Burgers",Pizza,800,400.0
juice junction food court,Yes,No,3.8 out of 5,211,"+91 7406888368
+91 9880680378",HSR,Quick Bites,"Sandwiches, Maggi, Rolls, Chole Bhature, Ginger Tea, Paratha, Rava Masala Dosa","Juices, South Indian, Chinese, Fast Food",200,100.0
wow vada pav,No,No,3.7 out of 5,40,+91 9686680334,HSR,Quick Bites,"Chaat, Burgers, Cheese Maggi, Tea, Chocolate Shake, Lassi, Cheese Vada Pav","Street Food, Burger, Fast Food",150,75.0
gkt biryani world,Yes,No,3.7 out of 5,83,"+91 9611333704
+91 8884939137",HSR,Quick Bites,"Pizza, Chicken Biryani","Biryani, Italian, BBQ",350,175.0
indian paratha factory,Yes,No,2.7 out of 5,140,"+91 9108529166
+91 7338491606",HSR,Quick Bites,"Lassi, Liti Chokha, Chicken Keema Paratha, Buttermilk, Raita, Aloo Paratha, Chocolate Paratha",North Indian,250,125.0
spice of andhra,No,No,3.7 out of 5,41,080 29765632,HSR,Quick Bites,Chicken Biryani,Andhra,500,250.0
